150 150
0 0 0
0 1 1
0 2 1
0 3 1
0 4 2
0 5 0
0 6 1
0 7 1
0 8 0
0 9 2
0 10 1
0 11 1
0 12 0
0 13 1
0 14 1
0 15 1
0 16 1
0 17 2
0 18 2
0 19 1
0 20 1
0 21 2
0 22 0
0 23 1
0 24 1
0 25 2
0 26 0
0 27 1
0 28 1
0 29 0
0 30 2
0 31 1
0 32 2
0 33 2
0 34 1
0 35 1
0 36 0
0 37 1
0 38 2
0 39 0
0 40 1
0 41 2
0 42 1
0 43 2
0 44 1
0 45 1
0 46 0
0 47 2
0 48 1
0 49 1
0 50 2
0 51 0
0 52 1
0 53 1
0 54 2
0 55 0
0 56 1
0 57 2
0 58 1
0 59 2
0 60 2
0 61 2
0 62 2
0 63 2
0 64 1
0 65 2
0 66 0
0 67 2
0 68 1
0 69 0
0 70 2
0 71 2
0 72 2
0 73 2
0 74 0
0 75 1
0 76 1
0 77 0
0 78 2
0 79 1
0 80 2
0 81 1
0 82 0
0 83 0
0 84 2
0 85 0
0 86 2
0 87 2
0 88 2
0 89 2
0 90 2
0 91 2
0 92 2
0 93 0
0 94 2
0 95 1
0 96 0
0 97 0
0 98 2
0 99 1
0 100 2
0 101 0
0 102 2
0 103 1
0 104 2
0 105 2
0 106 1
0 107 1
0 108 0
0 109 1
0 110 1
0 111 2
0 112 0
0 113 0
0 114 2
0 115 0
0 116 0
0 117 0
0 118 1
0 119 2
0 120 1
0 121 2
0 122 2
0 123 1
0 124 1
0 125 0
0 126 2
0 127 1
0 128 2
0 129 2
0 130 1
0 131 1
0 132 0
0 133 2
0 134 1
0 135 1
0 136 1
0 137 0
0 138 2
0 139 0
0 140 1
0 141 2
0 142 2
0 143 0
0 144 1
0 145 2
0 146 2
0 147 2
0 148 0
0 149 2
1 0 2
1 1 2
1 2 2
1 3 0
1 4 0
1 5 0
1 6 0
1 7 0
1 8 0
1 9 0
1 10 0
1 11 0
1 12 1
1 13 0
1 14 1
1 15 2
1 16 1
1 17 0
1 18 1
1 19 0
1 20 1
1 21 2
1 22 0
1 23 1
1 24 1
1 25 1
1 26 0
1 27 0
1 28 2
1 29 0
1 30 2
1 31 1
1 32 2
1 33 0
1 34 1
1 35 1
